Date,Conductivity,Temperature,Turbidity,DO,pH,Chl
6/26/2019 12:26,393,24.2,,6.75,8.32,3.27
6/26/2019 12:41,390,24.2,,7.41,8.34,3.07
6/26/2019 12:56,385,24.3,,7.21,8.33,3.38
6/26/2019 13:11,383,24.3,,7.36,8.33,2.97
6/26/2019 13:26,384,24.5,,7.41,8.33,3.33
6/26/2019 13:41,381,24.5,,7.35,8.33,3.3
6/26/2019 13:56,384,24.7,,7.44,8.33,3.17
6/26/2019 14:11,390,24.7,,7.47,8.34,3.31
6/26/2019 14:26,396,24.7,,7.46,8.33,3.37
6/26/2019 14:41,404,24.8,,7.28,8.3,3.35
6/26/2019 14:56,410,24.8,,7.29,8.29,3.25
6/26/2019 15:11,428,24.8,,6.99,8.25,3.98
6/26/2019 15:26,437,24.8,,7.1,8.23,3.61
6/26/2019 15:41,446,24.7,,7.04,8.21,3.31
6/26/2019 15:56,456,24.7,,6.92,8.17,3.75
6/26/2019 16:11,467,24.7,,6.83,8.16,3.69
6/26/2019 16:26,476,24.7,,6.84,8.15,3.69
6/26/2019 16:41,483,24.7,,6.75,8.13,3.61
6/26/2019 16:56,493,24.7,,6.63,8.11,3.77
6/26/2019 17:11,500,24.6,,6.61,8.1,3.8
6/26/2019 17:26,516,24.6,,6.58,8.09,4.23
6/26/2019 17:41,524,24.5,,6.49,8.07,4.59
6/26/2019 17:56,533,24.5,,6.43,8.06,4.49
6/26/2019 18:11,542,24.4,,6.38,8.05,4.8
6/26/2019 18:26,552,24.2,,6.36,8.04,4.91
6/26/2019 18:41,570,24.2,,6.34,8.04,4.78
6/26/2019 18:56,586,24.2,,6.36,8.03,5.62
6/26/2019 19:11,598,24.2,,6.39,8.04,5.35
6/26/2019 19:26,605,24.3,,6.48,8.04,5.82
6/26/2019 19:41,602,24.2,,6.51,8.04,5.98
6/26/2019 19:56,595,24.2,,6.51,8.05,5.37
6/26/2019 20:11,587,24.2,,6.49,8.05,5.65
6/26/2019 20:26,581,24.1,,6.49,8.04,5.47
6/26/2019 20:41,571,24.1,,6.52,8.05,5.41
6/26/2019 20:56,557,24.1,,6.54,8.06,5.04
6/26/2019 21:11,542,24.1,,6.59,8.07,4.77
6/26/2019 21:26,523,24,,6.65,8.09,4.39
6/26/2019 21:41,505,24,,6.74,8.11,4.41
6/26/2019 21:56,484,23.9,,6.88,8.14,4.2
6/26/2019 22:11,464,23.9,,6.99,8.17,3.81
6/26/2019 22:26,447,23.8,,7.15,8.22,3.76
6/26/2019 22:41,425,23.6,,7.27,8.25,3.71
6/26/2019 22:56,401,23.5,,7.42,8.29,3.48
6/26/2019 23:11,387,23.4,,7.48,8.31,3.41
6/26/2019 23:26,367,23.3,,7.61,8.38,3.22
6/26/2019 23:41,350,23,,7.75,8.43,3.18
6/26/2019 23:56,338,22.9,,7.79,8.47,3.15
6/27/2019 0:11,325,22.7,,7.86,8.48,3.14
6/27/2019 0:26,317,22.5,,7.88,8.49,2.82
6/27/2019 0:41,311,22.4,,7.87,8.46,2.73
6/27/2019 0:56,305,22.3,,7.83,8.44,2.67
6/27/2019 1:11,301,22.2,,7.78,8.44,2.67
6/27/2019 1:26,297,22.1,,7.76,8.45,2.74
6/27/2019 1:41,296,22.1,,7.75,8.47,2.6
6/27/2019 1:56,297,22,,7.68,8.46,2.39
6/27/2019 2:11,297,22,,7.68,8.47,2.57
6/27/2019 2:26,296,22,,7.57,8.47,2.57
6/27/2019 2:41,296,21.9,,7.6,8.48,2.61
6/27/2019 2:56,295,21.9,,7.58,8.47,2.65
6/27/2019 3:11,294,21.8,,7.65,8.46,2.72
6/27/2019 3:26,296,21.9,,7.63,8.44,2.9
6/27/2019 3:41,299,21.9,,7.61,8.43,2.52
6/27/2019 3:56,303,21.9,,7.6,8.42,2.53
6/27/2019 4:11,310,21.9,,7.6,8.4,2.68
6/27/2019 4:26,315,21.9,,7.53,8.39,2.9
6/27/2019 4:41,319,21.9,,7.55,8.38,4.19
6/27/2019 4:56,324,21.9,,7.56,8.39,3.78
6/27/2019 5:11,329,22,,7.5,8.38,4.05
6/27/2019 5:26,335,22,,7.51,8.4,3.28
6/27/2019 5:41,345,22,,7.52,8.39,3.33
6/27/2019 5:56,351,22.1,,7.47,8.38,3.77
6/27/2019 6:11,364,22.1,,7.4,8.36,3.62
6/27/2019 6:26,373,22.2,,7.12,8.31,5.37
6/27/2019 6:41,382,22.3,,7.2,8.3,4.2
6/27/2019 6:56,392,22.3,,6.68,8.08,6.72
6/27/2019 7:11,407,22.4,,6.85,8.21,4.02
6/27/2019 7:26,424,22.5,,6.92,8.2,4.11
6/27/2019 7:41,439,22.6,,6.88,8.18,4.06
6/27/2019 7:56,453,22.6,,6.81,8.15,4.53
6/27/2019 8:11,468,22.7,,6.67,8.12,4.23
6/27/2019 8:26,484,22.7,,6.6,8.1,4.14
6/27/2019 8:41,498,22.7,,6.5,8.08,4.14
6/27/2019 8:56,509,22.8,,6.41,8.07,4.26
6/27/2019 9:11,518,22.8,,6.38,8.06,4.37
6/27/2019 9:26,526,22.8,,5.92,8.02,4.49
6/27/2019 9:41,534,22.9,,6.15,8.02,4.06
6/27/2019 9:56,547,23.1,,6.36,8.05,4.45
6/27/2019 10:11,554,23.2,,6.5,8.06,5
6/27/2019 10:26,550,23.3,,6.47,8.05,4.75
6/27/2019 10:41,543,23.3,,6.48,8.06,4.56
6/27/2019 10:56,532,23.3,,6.5,8.06,4.46
6/27/2019 11:11,519,23.5,,6.6,8.08,5
6/27/2019 11:26,497,23.4,,6.69,8.1,4.62
6/27/2019 11:41,481,23.4,,6.77,8.12,4.29
6/27/2019 11:56,469,23.3,,6.81,8.14,3.85
6/27/2019 12:11,456,23.3,,6.76,8.14,5.08
6/27/2019 12:26,448,23.3,,6.78,8.16,4.55
6/27/2019 12:41,437,23.3,,6.9,8.18,3.79
6/27/2019 12:56,424,23.2,,6.88,8.2,3.47
6/27/2019 13:11,411,23.1,,7.06,8.23,3.46
6/27/2019 13:26,399,23,,7.13,8.26,3.14
6/27/2019 13:41,391,22.9,,7.13,8.25,2.84
6/27/2019 13:56,386,22.8,,7.04,8.26,3.05
6/27/2019 14:11,382,22.8,,6.95,8.24,2.78
6/27/2019 14:26,384,22.9,,6.82,8.23,2.87
6/27/2019 14:41,388,23,,6.83,8.22,2.87
6/27/2019 14:56,396,23.3,,6.72,8.17,4.22
6/27/2019 15:11,398,23.4,,6.82,8.19,3.33
6/27/2019 15:26,402,23.5,,6.84,8.2,3.33
6/27/2019 15:41,406,23.5,,6.76,8.17,3.18
6/27/2019 15:56,411,23.6,,6.75,8.17,3.64
6/27/2019 16:11,417,23.7,,6.76,8.16,3.36
6/27/2019 16:26,427,23.7,,6.84,8.17,3.52
6/27/2019 16:41,433,23.7,,6.81,8.15,3.33
6/27/2019 16:56,438,23.7,,6.76,8.16,3.34
6/27/2019 17:11,446,23.7,,6.7,8.13,3.67
6/27/2019 17:26,451,23.6,,6.59,8.11,3.4
6/27/2019 17:41,460,23.6,,6.49,8.08,3.73
6/27/2019 17:56,467,23.6,,6.42,8.08,3.74
6/27/2019 18:11,477,23.5,,6.38,8.07,4.02
6/27/2019 18:26,486,23.5,,6.31,8.06,4.08
6/27/2019 18:41,494,23.5,,6.36,8.05,3.98
6/27/2019 18:56,504,23.4,,6.28,8.03,4.44
6/27/2019 19:11,515,23.4,,6.11,8.03,4.32
6/27/2019 19:26,528,23.4,,6.17,8.03,4.33
6/27/2019 19:41,543,23.5,,6.36,8.04,5.02
6/27/2019 19:56,551,23.5,,6.47,8.05,5.22
6/27/2019 20:11,557,23.5,,6.61,8.06,5.53
6/27/2019 20:26,555,23.4,,6.57,8.06,5.31
6/27/2019 20:41,547,23.5,,6.58,8.07,5.02
6/27/2019 20:56,539,23.5,,6.6,8.07,5.22
6/27/2019 21:11,527,23.5,,6.59,8.07,4.78
6/27/2019 21:26,513,23.4,,6.59,8.08,4.48
6/27/2019 21:41,494,23.4,,6.65,8.09,4.63
6/27/2019 21:56,479,23.3,,6.67,8.11,4.17
6/27/2019 22:11,463,23.2,,6.71,8.12,4.16
6/27/2019 22:26,451,23.2,,6.75,8.14,4.05
6/27/2019 22:41,438,23.1,,6.76,8.15,3.76
6/27/2019 22:56,425,23,,6.93,8.18,4.03
6/27/2019 23:11,405,22.8,,7.21,8.27,3.67
6/27/2019 23:26,388,22.7,,7.48,8.33,3.63
6/27/2019 23:41,374,22.5,,7.64,8.36,3.79
6/27/2019 23:56,361,22.4,,7.78,8.4,3.41
6/28/2019 0:11,347,22.2,,7.93,8.44,3.04
6/28/2019 0:26,334,22.1,,8.11,8.5,2.63
6/28/2019 0:41,324,21.9,,8.19,8.52,2.9
6/28/2019 0:56,314,21.8,,8.28,8.55,2.66
6/28/2019 1:11,307,21.7,,8.26,8.55,2.73
6/28/2019 1:26,302,21.6,,8.19,8.55,2.48
6/28/2019 1:41,297,21.5,,8.17,8.57,2.82
6/28/2019 1:56,296,21.5,,8.1,8.57,2.5
6/28/2019 2:11,294,21.4,,8.09,8.6,2.56
6/28/2019 2:26,295,21.4,,7.99,8.59,3.16
6/28/2019 2:41,295,21.4,,7.9,8.58,2.41
6/28/2019 2:56,295,21.4,,7.83,8.59,2.55
6/28/2019 3:11,293,21.4,,7.91,8.61,2.49
6/28/2019 3:26,293,21.4,,7.87,8.59,2.43
6/28/2019 3:41,293,21.4,,7.87,8.57,2.48
6/28/2019 3:56,294,21.4,,7.82,8.57,2.54
6/28/2019 4:11,295,21.4,,7.83,8.56,2.37
6/28/2019 4:26,297,21.4,,7.88,8.52,2.53
6/28/2019 4:41,302,21.4,,7.8,8.5,3.18
6/28/2019 4:56,305,21.5,,7.74,8.48,3.25
6/28/2019 5:11,309,21.5,,7.74,8.48,2.74
6/28/2019 5:26,314,21.5,,7.76,8.47,2.77
6/28/2019 5:41,318,21.6,,7.73,8.45,3.52
6/28/2019 5:56,324,21.6,,7.64,8.43,4.3
6/28/2019 6:11,331,21.7,,7.6,8.41,3.67
6/28/2019 6:26,338,21.7,,7.31,8.32,
6/28/2019 6:41,345,21.8,,7.46,8.38,3.29
6/28/2019 6:56,354,21.8,,7.4,8.35,4.15
6/28/2019 7:11,362,21.9,,7.32,8.32,3.19
6/28/2019 7:26,371,22,,7.21,8.29,3.62
6/28/2019 7:41,382,22.1,,7.06,8.24,3.4
6/28/2019 7:56,390,22.2,,6.82,8.22,3.61
6/28/2019 8:11,400,22.2,,6.77,8.19,4.04
6/28/2019 8:26,411,22.3,,6.67,8.16,3.71
6/28/2019 8:41,421,22.3,,6.58,8.14,3.47
6/28/2019 8:56,433,22.4,,6.45,8.11,3.89
6/28/2019 9:11,443,22.5,,6.39,8.09,4.03
6/28/2019 9:26,458,22.6,,6.27,8.07,4.48
6/28/2019 9:41,474,22.7,,6.17,8.04,4.28
6/28/2019 9:56,487,22.8,,6.12,8.04,4.17
6/28/2019 10:11,496,22.8,,5.87,8.01,3.98
6/28/2019 10:26,512,23,,6.21,8.04,4.64
6/28/2019 10:41,523,23.1,,6.18,8.04,5.15
6/28/2019 10:56,523,23.2,,6.34,8.05,4.39
6/28/2019 11:11,521,23.3,,6.32,8.05,4.11
6/28/2019 11:26,514,23.3,,6.35,8.05,3.98
6/28/2019 11:41,501,23.4,,6.44,8.06,4.34
6/28/2019 11:56,487,23.3,,6.49,8.07,4.26
6/28/2019 12:11,473,23.3,,6.54,8.09,3.79
6/28/2019 12:26,461,23.2,,6.59,8.1,3.76
6/28/2019 12:41,450,23.2,,6.64,8.12,3.8
6/28/2019 12:56,437,23.2,,6.74,8.14,3.67
6/28/2019 13:11,425,23.2,,6.82,8.17,3.69
6/28/2019 13:26,414,23.2,,6.95,8.19,3.56
6/28/2019 13:41,403,23.1,,7.06,8.22,4.06
6/28/2019 13:56,395,23,,7.24,8.25,3.67
6/28/2019 14:11,383,22.9,,7.37,8.29,3.48
6/28/2019 14:26,374,22.8,,7.46,8.32,3.24
6/28/2019 14:41,368,22.7,,7.5,8.32,3.38
6/28/2019 14:56,363,22.7,,7.49,8.33,3.04
6/28/2019 15:11,361,22.6,,7.44,8.34,2.86
6/28/2019 15:26,356,22.5,,7.43,8.35,2.57
6/28/2019 15:41,366,22.6,,6.92,8.27,2.58
6/28/2019 15:56,364,22.7,,7.11,8.29,2.54
6/28/2019 16:11,361,22.7,,7.17,8.3,2.61
6/28/2019 16:26,363,22.9,,7.12,8.27,2.66
6/28/2019 16:41,363,23,,7.14,8.27,2.63
6/28/2019 16:56,366,23.1,,7.16,8.28,2.63
6/28/2019 17:11,370,23.2,,7.14,8.27,2.8
6/28/2019 17:26,375,23.3,,7.09,8.25,3.83
6/28/2019 17:41,380,23.4,,7.04,8.22,3.04
6/28/2019 17:56,384,23.3,,6.99,8.25,3.19
6/28/2019 18:11,388,23.3,,6.92,8.23,3.03
6/28/2019 18:26,391,23.3,,6.8,8.2,3.57
6/28/2019 18:41,395,23.3,,6.7,8.17,3.05
6/28/2019 18:56,398,23.3,,6.64,8.16,3.14
6/28/2019 19:11,405,23.3,,6.43,8.13,3.29
6/28/2019 19:26,411,23.3,,6.38,8.12,3.54
6/28/2019 19:41,418,23.3,,6.4,8.09,3.73
6/28/2019 19:56,425,23.3,,6.26,8.09,3.6
6/28/2019 20:11,435,23.3,,6.17,8.06,3.53
6/28/2019 20:26,441,23.3,,6.17,8.05,3.63
6/28/2019 20:41,449,23.4,,6.05,8.03,3.78
