Date,Conductivity,Temperature,Turbidity,DO,pH,Chl
7/11/2019 9:30,690,25.6,49.57,3.72,7.74,22.46
7/11/2019 9:45,690,25.5,37.39,3.58,7.74,18.64
7/11/2019 10:00,691,25.4,36.11,3.41,7.73,17.93
7/11/2019 10:15,691,25.4,37.99,3.28,7.72,15.94
7/11/2019 10:30,691,25.5,39.07,3.26,7.73,19.31
7/11/2019 10:45,690,25.5,36.43,3.13,7.68,16.81
7/11/2019 11:00,690,25.5,36.91,3.12,7.71,16.35
7/11/2019 11:15,690,25.5,35.75,3.1,7.72,15.03
7/11/2019 11:30,690,25.5,35.43,3.21,7.72,16.4
7/11/2019 11:45,689,25.6,36.41,3.28,7.72,16.34
7/11/2019 12:00,689,25.6,39.61,3.22,7.71,19.02
7/11/2019 12:15,689,25.5,36.9,3.15,7.72,23.02
7/11/2019 12:30,689,25.6,37.96,3.04,7.7,21.69
7/11/2019 12:45,690,25.5,38.83,3.02,7.7,18.29
7/11/2019 13:00,690,25.5,36.73,2.65,7.7,16.19
7/11/2019 13:15,690,25.5,36.08,2.82,7.69,17.82
7/11/2019 13:30,689,25.5,35.95,2.85,7.69,13.87
7/11/2019 13:45,690,25.6,40.95,2.94,7.71,12.19
7/11/2019 14:00,690,25.5,41.5,2.92,7.7,16.27
7/11/2019 14:15,690,25.6,40.46,2.88,7.7,15.51
7/11/2019 14:30,690,25.5,40.66,2.65,7.68,15.29
7/11/2019 14:45,690,25.5,39.72,2.67,7.69,14.87
7/11/2019 15:00,690,25.6,39.44,2.67,7.69,15.2
7/11/2019 15:15,690,25.6,38.88,2.69,7.68,15.4
7/11/2019 15:30,690,25.6,37.23,2.68,7.69,14.47
7/11/2019 15:45,690,25.6,35.5,2.76,7.69,15.48
7/11/2019 16:00,690,25.6,36.99,2.64,7.68,16.82
7/11/2019 16:15,688,25.6,36.71,2.66,7.68,16.14
7/11/2019 16:30,689,25.6,36.08,2.46,7.67,17.12
7/11/2019 16:45,688,25.6,35.79,2.39,7.67,16.1
7/11/2019 17:00,687,25.6,34.35,2.32,7.66,14.04
7/11/2019 17:15,687,25.6,36.48,2.22,7.66,13.99
7/11/2019 17:30,687,25.7,37.29,2.26,7.66,15.92
7/11/2019 17:45,686,25.7,34.91,2.2,7.65,17.66
7/11/2019 18:00,686,25.7,35.79,2.24,7.65,17.07
7/11/2019 18:15,686,25.7,38.22,2.22,7.65,17.27
7/11/2019 18:30,686,25.7,37.34,2.23,7.65,18.39
7/11/2019 18:45,686,25.7,36.36,2.13,7.64,18.86
7/11/2019 19:00,686,25.7,37.87,2.05,7.65,15.37
7/11/2019 19:15,687,25.6,38.41,2.15,7.65,16.34
7/11/2019 19:30,687,25.7,37.8,2.15,7.65,15.41
7/11/2019 19:45,687,25.6,35.49,1.92,7.64,17.46
