Date,Flow,Conductivity,Temperature,pH,Turbidity,DO,DO_Sat,fDOM,Nitrogen,Chl-RFU,Phyco,Phyco_RFU,Chl
7/1/2019 0:00,"-81,800  ",135  ,21.4  ,7.4  ,7.1  ,7.7  ,87  ,19.1  ,0.20  ,0.2  ,0.09  ,0.09  ,0.8  
7/1/2019 0:15,"-80,600  ",135  ,21.4  ,7.4  ,6.9  ,7.7  ,87  ,19.1  ,0.20  ,0.3  ,0.07  ,0.07  ,1.1  
7/1/2019 0:30,"-78,200  ",135  ,21.4  ,7.4  ,7.4  ,7.7  ,87  ,19.1  ,0.20  ,0.2  ,0.06  ,0.05  ,0.8  
7/1/2019 0:45,"-75,400  ",134  ,21.5  ,7.4  ,7.5  ,7.6  ,87  ,19.0  ,0.21  ,0.2  ,0.03  ,0.03  ,0.9  
7/1/2019 1:00,"-70,700  ",134  ,21.5  ,7.4  ,7.5  ,7.7  ,87  ,18.8  ,0.21  ,0.3  ,0.08  ,0.08  ,1.2  
7/1/2019 1:15,"-67,200  ",134  ,21.5  ,7.4  ,6.7  ,7.6  ,87  ,19.0  ,0.21  ,0.2  ,0.07  ,0.06  ,1.0  
7/1/2019 1:30,"-62,500  ",134  ,21.5  ,7.4  ,7.5  ,7.6  ,87  ,19.0  ,0.21  ,0.2  ,   ,   ,0.9  
7/1/2019 1:45,"-57,400  ",134  ,21.5  ,7.4  ,5.9  ,7.6  ,87  ,18.8  ,0.21  ,0.2  ,0.07  ,0.07  ,0.9  
7/1/2019 2:00,"-51,400  ",134  ,21.5  ,7.4  ,6.2  ,7.6  ,87  ,18.9  ,0.21  ,0.2  ,0.17  ,0.16  ,1.0  
7/1/2019 2:15,"-43,000  ",134  ,21.5  ,7.4  ,5.9  ,7.6  ,86  ,18.9  ,0.22  ,0.2  ,0.05  ,0.05  ,1.0  
7/1/2019 2:30,"-33,700  ",134  ,21.5  ,7.4  ,5.4  ,7.6  ,86  ,19.0  ,0.22  ,0.2  ,0.03  ,0.03  ,1.0  
7/1/2019 2:45,"-24,100  ",134  ,21.5  ,7.4  ,6.1  ,7.6  ,86  ,18.8  ,0.22  ,0.2  ,0.07  ,0.07  ,0.9  
7/1/2019 3:00,"-10,900  ",134  ,21.5  ,7.4  ,5.2  ,7.6  ,86  ,19.0  ,0.22  ,0.2  ,0.10  ,0.10  ,0.9  
7/1/2019 3:15,"4,370  ",134  ,21.5  ,7.4  ,5.8  ,7.6  ,86  ,18.8  ,0.22  ,0.2  ,0.11  ,0.10  ,1.0  
7/1/2019 3:30,"22,800  ",133  ,21.4  ,7.5  ,6.1  ,7.6  ,87  ,18.8  ,0.22  ,0.3  ,   ,0.00  ,1.2  
7/1/2019 3:45,"42,200  ",134  ,21.4  ,7.4  ,6.1  ,7.6  ,86  ,18.9  ,0.21  ,0.2  ,0.11  ,0.11  ,1.0  
7/1/2019 4:00,"62,800  ",134  ,21.4  ,7.4  ,6.7  ,7.6  ,86  ,18.8  ,0.21  ,0.2  ,0.02  ,0.02  ,0.9  
7/1/2019 4:15,"72,700  ",134  ,21.4  ,7.4  ,8.6  ,7.6  ,86  ,18.7  ,0.21  ,0.2  ,0.09  ,0.09  ,0.9  
