Date,Conductivity,Temperature,Turbidity,DO,pH,Chl
7/11/2019 11:45,795,25,64.39,7.16,8.2,29.35
7/11/2019 12:00,795,25.1,73.03,7.28,8.21,27.85
7/11/2019 12:15,794,25.3,66.35,7.35,8.22,29.44
7/11/2019 12:30,795,25.5,65.12,7.48,8.23,29.83
7/11/2019 12:45,794,25.6,64.88,7.56,8.23,29.89
7/11/2019 13:00,794,25.9,61.98,7.72,8.24,29.91
7/11/2019 13:15,794,26,70.52,7.83,8.25,30.94
7/11/2019 13:30,794,26.2,61.66,7.99,8.26,29.95
7/11/2019 13:45,794,26.4,63,8.14,8.27,33.86
7/11/2019 14:00,795,26.6,62.43,8.28,8.28,33.78
7/11/2019 14:15,795,26.7,57.91,8.42,8.29,41.62
7/11/2019 14:30,795,26.8,57.73,8.51,8.29,36.45
7/11/2019 14:45,795,27,57.02,8.64,8.3,36.13
7/11/2019 15:00,795,27.1,56.5,8.79,8.31,40.63
7/11/2019 15:15,793,27.2,55.05,8.9,8.32,41.21
7/11/2019 15:30,792,27.3,55.98,9.04,8.33,40.86
7/11/2019 15:45,791,27.4,54.64,9.08,8.33,39.02
7/11/2019 16:00,788,27.5,55.06,9.19,8.33,38.48
7/11/2019 16:15,786,27.6,54.32,9.28,8.33,37.11
7/11/2019 16:30,782,27.8,51.62,9.41,8.34,38.32
7/11/2019 16:45,782,27.8,52.73,9.61,8.36,41.74
7/11/2019 17:00,781,27.8,58.29,9.7,8.36,38.72
7/11/2019 17:15,782,27.8,51.57,9.7,8.37,40.69
7/11/2019 17:30,784,27.8,50.71,9.76,8.37,38.98
7/11/2019 17:45,784,27.8,49.41,9.81,8.38,41.9
7/11/2019 18:00,785,27.8,51.77,9.98,8.4,42.8
7/11/2019 18:15,786,27.8,51.56,10.21,8.42,49.29
7/11/2019 18:30,787,27.7,51.48,10.27,8.42,50.61
7/11/2019 18:45,787,27.7,52.08,10.22,8.42,49.96
7/11/2019 19:00,787,27.6,51.66,10.1,8.42,53.5
7/11/2019 19:15,788,27.4,55.88,9.95,8.41,47.94
7/11/2019 19:30,790,27.3,52.26,9.76,8.4,49.19
7/11/2019 19:45,791,27.1,54.08,9.57,8.39,45.61
7/11/2019 20:00,792,27,54.68,9.35,8.38,42.12
