Region,Date,Month,Year,PesticideClass,TotalApplication
Sacramento River,2017-01-01,Jan,2017,Pyrethroid,808.7103001304642
Sacramento River,2017-02-01,Feb,2017,Pyrethroid,778.3167486714431
Sacramento River,2017-03-01,Mar,2017,Pyrethroid,1169.8863151839987
Sacramento River,2017-03-07,Mar,2017,Pyrethroid,19.486741129956744
Sacramento River,2017-03-08,Mar,2017,Pyrethroid,80.25695351929055
Sacramento River,2017-03-10,Mar,2017,Pyrethroid,60.95699418236142
Sacramento River,2017-03-11,Mar,2017,Pyrethroid,26.334356840596232
Sacramento River,2017-03-13,Mar,2017,Pyrethroid,16.69023243898163
Sacramento River,2017-03-14,Mar,2017,Pyrethroid,32.48797506724384
Sacramento River,2017-03-15,Mar,2017,Pyrethroid,32.57211744740064
Sacramento River,2017-03-16,Mar,2017,Pyrethroid,31.921597279141913
Sacramento River,2017-03-18,Mar,2017,Pyrethroid,29.111254106246964
Sacramento River,2017-03-23,Mar,2017,Pyrethroid,3.1287324516757353
Sacramento River,2017-03-29,Mar,2017,Pyrethroid,22.86897770372692
Sacramento River,2017-04-01,Apr,2017,Pyrethroid,1322.6354413061526
Sacramento River,2017-04-03,Apr,2017,Pyrethroid,7.995806103133715
Sacramento River,2017-04-20,Apr,2017,Pyrethroid,3.8100585355532406
Sacramento River,2017-04-30,Apr,2017,Pyrethroid,30.868296293382492
Sacramento River,2017-05-01,May,2017,Pyrethroid,2001.8940957399257
Sacramento River,2017-05-15,May,2017,Pyrethroid,276.51880120235853
Sacramento River,2017-05-17,May,2017,Pyrethroid,403.9383384108052
Sacramento River,2017-05-19,May,2017,Pyrethroid,310.14692309315666
Sacramento River,2017-05-21,May,2017,Pyrethroid,171.82410225859206
Sacramento River,2017-05-22,May,2017,Pyrethroid,278.68045590773414
Sacramento River,2017-05-23,May,2017,Pyrethroid,397.7322684958394
Sacramento River,2017-05-25,May,2017,Pyrethroid,219.78364424501746
Sacramento River,2017-05-26,May,2017,Pyrethroid,300.28071907009667
Sacramento River,2017-05-27,May,2017,Pyrethroid,368.725854676834
Sacramento River,2017-05-29,May,2017,Pyrethroid,152.3681653447279
Sacramento River,2017-06-01,Jun,2017,Pyrethroid,5720.749029578706
Sacramento River,2017-06-05,Jun,2017,Pyrethroid,154.9712966839836
Sacramento River,2017-06-19,Jun,2017,Pyrethroid,159.68445727139695
Sacramento River,2017-06-23,Jun,2017,Pyrethroid,236.54331061150745
Sacramento River,2017-06-24,Jun,2017,Pyrethroid,285.7020061130999
Sacramento River,2017-06-26,Jun,2017,Pyrethroid,383.415601916807
Sacramento River,2017-06-27,Jun,2017,Pyrethroid,453.2677723289825
Sacramento River,2017-06-29,Jun,2017,Pyrethroid,387.75428064400285
Sacramento River,2017-06-30,Jun,2017,Pyrethroid,683.1247050588452
Sacramento River,2017-07-01,Jul,2017,Pyrethroid,3162.3790305938032
Sacramento River,2017-07-03,Jul,2017,Pyrethroid,306.4195645047841
Sacramento River,2017-07-05,Jul,2017,Pyrethroid,141.28048402402194
Sacramento River,2017-07-06,Jul,2017,Pyrethroid,320.17775702314947
Sacramento River,2017-07-07,Jul,2017,Pyrethroid,231.8817134678358
Sacramento River,2017-07-08,Jul,2017,Pyrethroid,330.90530359010927
Sacramento River,2017-07-10,Jul,2017,Pyrethroid,238.06570024613856
Sacramento River,2017-07-14,Jul,2017,Pyrethroid,340.0555353365654
Sacramento River,2017-07-21,Jul,2017,Pyrethroid,258.8337566947533
Sacramento River,2017-07-24,Jul,2017,Pyrethroid,54.108348934848564
