Date,LIS_DailyAvgInstFlow,LIS_DailyAvgNetFlow,SR_DailyAvgNetFlow
1/1/2013,NA,NA,NA
1/2/2013,NA,NA,NA
1/3/2013,NA,NA,NA
1/4/2013,NA,NA,NA
1/5/2013,NA,NA,NA
1/6/2013,NA,NA,NA
1/7/2013,NA,NA,NA
1/8/2013,2250,NA,NA
1/9/2013,1890,1900,NA
1/10/2013,1610,1620,NA
1/11/2013,1390,1390,NA
1/12/2013,1170,1170,NA
1/13/2013,940,954,NA
1/14/2013,776,770,NA
1/15/2013,592,605,NA
1/16/2013,490,504,NA
1/17/2013,508,513,NA
1/18/2013,573,564,NA
1/19/2013,594,593,NA
1/20/2013,606,600,NA
1/21/2013,575,577,NA
1/22/2013,562,564,NA
1/23/2013,563,565,NA
1/24/2013,596,608,NA
1/25/2013,709,716,NA
1/26/2013,858,844,NA
1/27/2013,907,899,NA
1/28/2013,893,899,NA
1/29/2013,935,948,NA
1/30/2013,1080,1080,NA
1/31/2013,1200,1170,NA
2/1/2013,1130,1120,NA
2/2/2013,1010,1010,NA
2/3/2013,846,849,NA
2/4/2013,694,738,NA
2/5/2013,845,805,NA
2/6/2013,800,829,NA
2/7/2013,876,851,NA
2/8/2013,818,838,NA
2/9/2013,872,859,NA
2/10/2013,833,836,NA
2/11/2013,793,790,NA
2/12/2013,736,746,NA
2/13/2013,751,744,NA
2/14/2013,736,731,NA
2/15/2013,684,678,NA
2/16/2013,612,620,NA
2/17/2013,596,595,NA
2/18/2013,573,574,NA
2/19/2013,554,555,NA
2/20/2013,542,541,NA
2/21/2013,516,521,NA
2/22/2013,519,517,NA
2/23/2013,504,507,NA
2/24/2013,502,505,NA
2/25/2013,515,507,NA
2/26/2013,478,483,NA
2/27/2013,461,457,NA
2/28/2013,417,417,NA
3/1/2013,383,386,NA
3/2/2013,372,371,NA
3/3/2013,365,370,NA
3/4/2013,408,405,NA
3/5/2013,444,433,NA
3/6/2013,423,430,NA
3/7/2013,430,424,NA
3/8/2013,373,382,NA
3/9/2013,372,376,NA
3/10/2013,400,397,NA
3/11/2013,426,429,NA
3/12/2013,467,462,NA
3/13/2013,468,467,NA
3/14/2013,456,434,NA
3/15/2013,311,325,NA
3/16/2013,229,234,NA
3/17/2013,186,191,NA
3/18/2013,182,187,NA
3/19/2013,212,217,NA
3/20/2013,261,250,NA
3/21/2013,245,251,NA
3/22/2013,261,268,NA
3/23/2013,339,330,NA
3/24/2013,387,385,NA
3/25/2013,419,421,NA
3/26/2013,472,474,NA
3/27/2013,523,514,NA
3/28/2013,493,489,NA
3/29/2013,451,457,NA
3/30/2013,455,463,NA
3/31/2013,504,487,NA
4/1/2013,488,497,NA
4/2/2013,513,508,NA
4/3/2013,482,482,NA
4/4/2013,483,482,NA
4/5/2013,490,490,NA
4/6/2013,469,468,NA
4/7/2013,439,442,NA
4/8/2013,439,439,NA
4/9/2013,433,436,NA
4/10/2013,441,435,NA
4/11/2013,404,409,NA
4/12/2013,401,401,NA
4/13/2013,409,405,NA
4/14/2013,382,385,NA
4/15/2013,372,377,NA
4/16/2013,393,392,NA
4/17/2013,419,418,NA
4/18/2013,435,432,NA
4/19/2013,420,410,NA
4/20/2013,348,357,NA
4/21/2013,323,319,NA
4/22/2013,277,288,NA
4/23/2013,294,289,NA
4/24/2013,297,292,NA
4/25/2013,299,295,NA
4/26/2013,280,283,NA
4/27/2013,266,263,NA
4/28/2013,231,236,NA
4/29/2013,227,239,NA
4/30/2013,285,275,NA
5/1/2013,262,271,NA
5/2/2013,269,244,NA
5/3/2013,122,134,NA
5/4/2013,48.6,48.9,NA
5/5/2013,53.3,49.9,NA
5/6/2013,49.6,51.4,NA
5/7/2013,39.1,33.4,NA
5/8/2013,3.24,10.2,NA
5/9/2013,4.89,8.71,NA
5/10/2013,27,23.5,NA
5/11/2013,24.8,22.8,NA
5/12/2013,6.52,10.3,NA
5/13/2013,15.4,18.6,NA
5/14/2013,22,27.2,NA
5/15/2013,15.8,13.9,NA
5/16/2013,-7.99,-5.26,NA
5/17/2013,-11.8,-14.7,NA
