Station,Contrast,Estimate,SE,df,t_ratio,p_value
RD22,Year_fct2015 - Year_fct2016,0.569##,0.131##,70.7##,4.35##,< 0.001##
RD22,Year_fct2015 - Year_fct2017,-2.37##,1.25##,70.7##,-1.90##,0.327##
RD22,Year_fct2015 - Year_fct2018,0.351##,0.120##,70.7##,2.92##,0.036##
RD22,Year_fct2015 - Year_fct2019,0.151##,0.121##,70.7##,1.25##,0.722##
RD22,Year_fct2016 - Year_fct2017,-2.94##,1.23##,70.7##,-2.38##,0.133##
RD22,Year_fct2016 - Year_fct2018,-0.218##,0.125##,70.7##,-1.74##,0.417##
RD22,Year_fct2016 - Year_fct2019,-0.418##,0.126##,70.7##,-3.32##,0.012##
RD22,Year_fct2017 - Year_fct2018,2.72##,1.24##,70.7##,2.19##,0.196##
RD22,Year_fct2017 - Year_fct2019,2.52##,1.24##,70.7##,2.03##,0.264##
RD22,Year_fct2018 - Year_fct2019,-0.200##,0.116##,70.7##,-1.73##,0.423##
STTD,Year_fct2015 - Year_fct2016,-0.395##,0.0977##,60.7##,-4.04##,0.001##
STTD,Year_fct2015 - Year_fct2017,-1.09##,0.388##,60.7##,-2.81##,0.050##
STTD,Year_fct2015 - Year_fct2018,0.674##,0.0971##,60.7##,6.94##,< 0.001##
STTD,Year_fct2015 - Year_fct2019,1.13##,0.0949##,60.7##,11.9##,< 0.001##
STTD,Year_fct2016 - Year_fct2017,-0.696##,0.388##,60.7##,-1.79##,0.386##
STTD,Year_fct2016 - Year_fct2018,1.07##,0.102##,60.7##,10.5##,< 0.001##
STTD,Year_fct2016 - Year_fct2019,1.52##,0.100##,60.7##,15.2##,< 0.001##
STTD,Year_fct2017 - Year_fct2018,1.77##,0.389##,60.7##,4.54##,< 0.001##
STTD,Year_fct2017 - Year_fct2019,2.22##,0.389##,60.7##,5.70##,< 0.001##
STTD,Year_fct2018 - Year_fct2019,0.452##,0.0995##,60.7##,4.54##,< 0.001##
LIB,Year_fct2015 - Year_fct2016,-0.512##,0.255##,49.9##,-2.01##,0.278##
LIB,Year_fct2015 - Year_fct2017,-0.0289##,0.166##,49.9##,-0.174##,1.000##
LIB,Year_fct2015 - Year_fct2018,1.16##,0.444##,49.9##,2.62##,0.082##
LIB,Year_fct2015 - Year_fct2019,0.0902##,0.275##,49.9##,0.328##,0.997##
LIB,Year_fct2016 - Year_fct2017,0.484##,0.230##,49.9##,2.10##,0.237##
LIB,Year_fct2016 - Year_fct2018,1.68##,0.505##,49.9##,3.32##,0.014##
LIB,Year_fct2016 - Year_fct2019,0.603##,0.341##,49.9##,1.77##,0.405##
LIB,Year_fct2017 - Year_fct2018,1.19##,0.442##,49.9##,2.70##,0.068##
LIB,Year_fct2017 - Year_fct2019,0.119##,0.266##,49.9##,0.448##,0.991##
LIB,Year_fct2018 - Year_fct2019,-1.07##,0.480##,49.9##,-2.24##,0.183##
RVB,Year_fct2015 - Year_fct2016,0.498##,0.364##,69.8##,1.37##,0.649##
RVB,Year_fct2015 - Year_fct2017,0.735##,0.367##,69.8##,2.00##,0.275##
RVB,Year_fct2015 - Year_fct2018,0.795##,0.363##,69.8##,2.19##,0.196##
RVB,Year_fct2015 - Year_fct2019,1.07##,0.366##,69.8##,2.93##,0.036##
RVB,Year_fct2016 - Year_fct2017,0.237##,0.113##,69.8##,2.11##,0.230##
RVB,Year_fct2016 - Year_fct2018,0.297##,0.101##,69.8##,2.94##,0.035##
RVB,Year_fct2016 - Year_fct2019,0.573##,0.127##,69.8##,4.51##,< 0.001##
RVB,Year_fct2017 - Year_fct2018,0.0597##,0.101##,69.8##,0.594##,0.976##
RVB,Year_fct2017 - Year_fct2019,0.336##,0.113##,69.8##,2.96##,0.033##
RVB,Year_fct2018 - Year_fct2019,0.276##,0.0825##,69.8##,3.35##,0.011##
