Model,df,AIC,AIC_delta,BIC,BIC_delta
m_gam_sflow_lag2,35.57415484692513,141.15474528053326,0,269.6887240189599,0.6970647568738286
m_gam_flow2_lag2,33.79578601533502,148.00333347414727,6.848588193614006,270.1118378036311,1.1201785415450445
m_gam_flow3_lag2,45.81545450095707,154.37991969060016,13.225174410066899,319.917026054952,50.92536679286593
m_lm_flow2_lag2,31,173.14918915246182,31.994443871928553,285.156160450492,16.16450118840595
m_gam_cat2_lag2,25.626464012547373,176.39996187100868,35.24521659047542,268.99165926208605,0
m_lm_flow3_lag2,43,177.8826776169015,36.72793233636824,333.2471861915885,64.25552692950248
m_lm_cat2_lag2,23,189.59693557295293,48.44219029241967,272.6988820198785,3.707222757792465
