Station,Term,df,F,p_value
RD22,Year_fct,5.00##,1.60##,0.206##
RD22,Flow,1.00##,0.192##,0.666##
RD22,Year_fct:Flow,5.00##,0.883##,0.511##
RD22,s(Week),2.22##,3.43##,0.014##
STTD,Year_fct,5.00##,8.29##,< 0.001##
STTD,Flow,1.00##,0.128##,0.722##
STTD,Year_fct:Flow,5.00##,0.525##,0.756##
STTD,s(Week),0.178##,0.0651##,0.333##
LIB,Year_fct,5.00##,1.90##,0.128##
LIB,Flow,1.00##,0.229##,0.636##
LIB,Year_fct:Flow,5.00##,0.692##,0.634##
LIB,s(Week),7.27e-05##,3.24e-06##,0.892##
RVB,Year_fct,5.00##,2.79##,0.040##
RVB,Flow,1.00##,1.35##,0.257##
RVB,Year_fct:Flow,5.00##,0.240##,0.941##
RVB,s(Week),1.65##,1.85##,0.043##
