Month,Day,Year,Method,Species,FL,Mark
11,17,2015,FKTR,CHN,833,None
11,17,2015,FKTR,CHN,713,None
12,1,2015,FKTR,CHN,617,None
12,8,2015,FKTR,CHN,814,A
12,8,2015,FKTR,CHN,901,None
12,9,2015,FKTR,CHN,738,None
12,9,2015,FKTR,CHN,785,A
12,9,2015,FKTR,CHN,790,None
12,9,2015,FKTR,CHN,733,A
11,17,2015,FKTR,CHN,745,None
11,17,2015,FKTR,CHN,625,None
11,18,2015,FKTR,CHN,661,None
11,18,2015,FKTR,CHN,550,None
11,19,2015,FKTR,CHN,692,None
11,19,2015,FKTR,CHN,845,None
11,19,2015,FKTR,CHN,707,None
11,20,2015,FKTR,CHN,841,None
11,20,2015,FKTR,CHN,707,None
11,24,2015,FKTR,CHN,808,None
12,13,2016,FKTR,CHN,608,None
11,24,2015,FKTR,CHN,731,None
11,24,2015,FKTR,CHN,671,None
11,24,2015,FKTR,CHN,544,A
11,24,2015,FKTR,CHN,736,None
11,24,2015,FKTR,CHN,731,None
11,25,2015,FKTR,CHN,843,None
11,25,2015,FKTR,CHN,700,None
11,25,2015,FKTR,CHN,564,None
10,5,2016,FKTR,CHN,780,A
10,5,2016,FKTR,CHN,640,None
10,6,2016,FKTR,CHN,655,A
10,6,2016,FKTR,CHN,591,None
10,14,2016,FKTR,CHN,824,None
10,14,2016,FKTR,CHN,648,A
10,14,2016,FKTR,CHN,634,None
10,18,2016,FKTR,CHN,601,None
10,18,2016,FKTR,CHN,707,None
10,21,2016,FKTR,CHN,598,None
5,18,2017,FKTR,RBT,314,A
9,28,2017,FKTR,CHN,721,None
10,4,2017,FKTR,CHN,637,None
10,4,2017,FKTR,CHN,618,A
10,4,2017,FKTR,CHN,662,None
10,10,2017,FKTR,CHN,580,A
10,10,2017,FKTR,CHN,616,None
10,11,2017,FKTR,CHN,590,None
10,12,2017,FKTR,CHN,625,None
10,12,2017,FKTR,CHN,571,None
10,12,2017,FKTR,CHN,610,None
10,13,2017,FKTR,CHN,547,A
10,17,2017,FKTR,CHN,620,None
10,17,2017,FKTR,CHN,609,None
10,18,2017,FKTR,CHN,901,None
10,19,2017,FKTR,CHN,630,None
10,19,2017,FKTR,CHN,874,None
10,20,2017,FKTR,CHN,610,A
10,24,2017,FKTR,CHN,893,A
10,26,2017,FKTR,CHN,610,A
10,26,2017,FKTR,CHN,560,None
10,27,2017,FKTR,CHN,665,A
10,27,2017,FKTR,CHN,875,None
10,27,2017,FKTR,CHN,525,None
10,27,2017,FKTR,CHN,570,None
10,31,2017,FKTR,CHN,608,A
10,31,2017,FKTR,CHN,546,None
10,31,2017,FKTR,CHN,780,A
10,31,2017,FKTR,CHN,605,None
10,31,2017,FKTR,CHN,627,None
11,2,2017,FKTR,CHN,708,None
11,2,2017,FKTR,CHN,745,None
11,3,2017,FKTR,CHN,870,n/p
