Survey.x,StationCode,Latitude,Longitude,Intersect,geometry,RegionMult,Region
EDSM,17-49-CS01,38.34999,-121.64097,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-49-CS02,38.24686,-121.70999,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,17-49-RV01,38.17578,-121.66966,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-49-RV02,38.08871,-121.68595,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-49-SRU01,38.40319,-121.51432,Y,"c(629724.702481776, 4251596.22919928)",MiddleSacRiver,MiddleSacRiver
EDSM,17-49-SRU04,38.26982,-121.53409,Y,"c(628233.282829778, 4236768.9439741)",MiddleSacRiver,MiddleSacRiver
EDSM,17-49-SSC01,38.42364,-121.60734,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-49-SSC02,38.38801,-121.62385,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-50-CS01,38.35018,-121.6405,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-50-CS02,38.24872,-121.6878,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,17-50-RV01,38.0906,-121.70671,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-50-RV02,38.09954,-121.7174,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-50-SRR01,38.17072,-121.58069,Y,"c(624325.22597096, 4225708.79374113)",MiddleSacRiver,MiddleSacRiver
EDSM,17-50-SRU01,38.28228,-121.55053,Y,"c(626773.418078484, 4238128.90859852)",MiddleSacRiver,MiddleSacRiver
EDSM,17-50-SSC01,38.56067,-121.5641,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,17-50-SSC02,38.44548,-121.59642,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-51-CS01,38.37594,-121.62876,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-51-CS02,38.20455,-121.6543,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-51-RV01,38.17719,-121.66644,Y,"c(616803.245038213, 4226315.17741999)",LowerSacRiver,Downstream
EDSM,17-51-RV02,38.09898,-121.72152,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-51-SRR01,38.19689,-121.54698,Y,"c(627232.685594049, 4228658.47707181)",MiddleSacRiver,MiddleSacRiver
EDSM,17-51-SRU01,38.41098,-121.51881,Y,"c(629318.743995985, 4252454.36538388)",MiddleSacRiver,MiddleSacRiver
EDSM,17-51-SSC01,38.56251,-121.55439,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,17-51-SSC02,38.43736,-121.60079,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-52-CS01,38.30736,-121.73276,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,17-52-CS02,38.23425,-121.67674,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,17-52-RV01,38.09734,-121.71961,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-52-RV02,38.10955,-121.71229,N,"c(NA, NA)",LowerSacRiver,Downstream
EDSM,17-52-SRU01,38.2559,-121.51559,Y,"c(629876.478150732, 4235250.11328609)",MiddleSacRiver,MiddleSacRiver
EDSM,17-52-SRU02,38.43674,-121.50781,Y,"c(630232.896939614, 4255328.4075451)",MiddleSacRiver,MiddleSacRiver
EDSM,17-52-SSC01,38.38348,-121.62487,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-52-SSC02,38.40799,-121.61381,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,17-53-SRR01,38.12984,-121.58303,N,"c(NA, NA)",MiddleSacRiver,MiddleSacRiver
EDSM,17-53-SRU01,38.28687,-121.55531,Y,"c(626347.370730494, 4238631.69805384)",MiddleSacRiver,MiddleSacRiver
EDSM,18-01-CS01,38.28608,-121.69242,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-01-CS02,38.26877,-121.66833,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-01-SSC02,38.40177,-121.61658,N,"c(NA, NA)",LowerYolo,Upstream
EDSM,18-01-SSC03,38.51274,-121.58413,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-02-CS01,38.33243,-121.64794,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-02-CS02,38.25965,-121.69508,N,"c(NA, NA)",CacheSloughComplex,Downstream
EDSM,18-02-SRU01,38.25239,-121.51211,Y,"c(630187.236045751, 4234865.51500975)",MiddleSacRiver,MiddleSacRiver
EDSM,18-02-SRU02,38.43839,-121.50669,Y,"c(630327.684197428, 4255513.09003143)",MiddleSacRiver,MiddleSacRiver
EDSM,18-02-SSC01,38.56124,-121.54269,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-02-SSC02,38.49581,-121.58485,N,"c(NA, NA)",UpperYolo,Upstream
EDSM,18-03-CS01,38.26193,-121.66586,N,"c(NA, NA)",CacheSloughComplex,Downstream
