StnCode,Year,Month,Day,Method,Species,FL,MarkCode,MeanTrans,Trans-2yrs,Trans-3yrs,Trans-4yrs,WYtype,WYtype-2yrs,WYtype-3yrs,WYtype-4yrs,Flow Action (Y/N),FA  Type,FA Start,FA End,fish caught,days since FA end,,,,
PCS,1999,11,3,FKTR,CHN,720,None,106.70,96.60,93.79,74.48,5,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,1999,11,5,FKTR,CHN,520,None,106.70,96.60,93.79,74.48,5,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,1999,11,8,FKTR,CHN,598,None,106.70,96.60,93.79,74.48,5,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,1999,12,6,FKTR,CHN,880,None,106.70,96.60,93.79,74.48,5,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,1999,12,20,FKTR,CHN,768,None,106.70,96.60,93.79,74.48,5,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,3,31,FKTR,CHN,700,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,4,14,FKTR,CHN,682,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,4,19,FKTR,CHN,775,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,4,21,FKTR,CHN,589,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,4,26,FKTR,CHN,710,n/p,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,10,16,FKTR,CHN,530,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,10,23,FKTR,CHN,940,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,10,23,FKTR,CHN,990,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,10,27,FKTR,CHN,530,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2000,11,8,FKTR,CHN,656,None,109.06,84.97,96.60,93.79,4,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,2,5,FKTR,CHN,690,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,2,20,FKTR,RBT,640,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,3,21,FKTR,CHN,460,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,3,21,FKTR,CHN,660,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,3,26,FKTR,CHN,756,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,4,6,FKTR,RBT,506,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,4,9,FKTR,CHN,459,None,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,10,9,FKTR,CHN,626,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,10,10,FKTR,CHN,850,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,10,24,FKTR,CHN,730,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,10,26,FKTR,CHN,880,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,10,29,FKTR,CHN,745,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
PCS,2001,11,5,FKTR,CHN,840,n/p,92.60,106.70,84.97,96.60,2,5,5,5,N,n/a,n/a,n/a,n/a,n/a,,,,
