"","Year","Total.Catch","Catch.Per.Hour","Average.Flow_cfs","Total.Returns","Average.Transport_mi","Putah.Creek.Returns","CWT.Stray_%"
"1",2000,10,0.0209636281052374,NA,509160,91.7866666666667,NA,NA
"2",2001,14,0.0178692988427502,NA,681331,96.09,NA,NA
"3",2002,11,0.0141564068465531,NA,945559,100.243333333333,NA,NA
"4",2003,6,0.0257510729613734,17.0249888193202,638789,102.786666666667,NA,NA
"5",2004,3,0.0116997075073123,111.438067349927,426017,105.046666666667,NA,NA
"6",2005,4,0.0138121546961326,77.3442283502661,492907,103.573333333333,NA,NA
"7",2006,13,0.0340180557372759,67.2020833333333,338245,110.536666666667,NA,NA
"8",2007,4,0.0166089965397924,38.9856011599375,129696,112.813333333333,NA,NA
"9",2008,4,0.0212107821475917,-12.6277362973019,97880,117.576666666667,NA,NA
"10",2009,3,0.0291450777202073,8.25596433518005,72308,120.906666666667,NA,NA
"11",2010,3,0.0379266750948167,31.0824672965116,179396,131.78,5,11
"12",2011,3,0.0403677954698363,153.181524503985,244283,137.986666666667,5,11
"13",2012,6,0.0407932011331445,102.330229396771,371902,143.32,5,17
"14",2013,18,0.0477960701009028,20.521875,486919,136.593333333333,5,11
"15",2014,5,0.0406669377795852,-43.0567698588195,281603,127.186666666667,350,19
"16",2015,56,0.116359606593711,22.6339950158976,173460,113.75,600,38
"17",2016,11,0.0790419161676647,27.9814983266112,148587,148.11,1600,NA
"18",2017,59,0.100702642733195,-24.1327506426735,108373,210.106666666667,650,NA
"19",2018,24,0.0697066511762997,30.8718192833651,184827,212.663333333333,500,NA
"20",2019,11,0.0396467832041809,103.435576329482,NA,150.413333333333,35,NA
