Year,Annual
2018 *,3906
2017 *,1638
2016 *,2351
2015 *,6827
2014 *,4869
2013 *,3615
2012 *,3048
2011 *,4637
2010 *,5505
2009 *,6436
2008,6334
2007,3361
2006,4822
2005,5562
2004,5166
2003,3183
2002,4186
2001,2439
2000,4181
1999,7075
1998,3079
1997,4578
1996,1337
1995,323
1994,598
1993,528
1992,344
1991,161
1990,92
1989,65
1988,53
1987,349
1986,197
1985,181
1984,
1983,105
1982,445
1981,147
1980,
1979,
1978,
1977,914
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. Hatchery Late-Fall Chinook.  (November to April). 1 GrandTab Data Note exists for dataset
Generated 03 Sep 2020 17:07:49 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
