Year,Annual
2018 *,1299
2017 *,3178
2016 *,3262
2015 *,2577
2014 *,8181
2013 *,5389
2012 *,2938
2011 *,3811
2010 *,4483
2009 *,3760
2008,4038
2007,15482
2006,10267
2005,10720
2004,8984
2003,5699
2002,36220
2001,19374
2000,8702
1999,8683
1998,39340
1997,
1996,48
1995,166
1994,291
1993,739
1992,9787
1991,8102
1990,7986
1989,12807
1988,13165
1987,16222
1986,8104
1985,9999
1984,10388
1983,14984
1982,6454
1981,6571
1980,9093
1979,10284
1978,12479
1977,9455
1976,15908
1975,19261
1974,6083
1973,21781
1972,31559
1971,16741
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. In-River Late-Fall Chinook.  (November to April). 1 GrandTab Data Note exists for dataset
Generated 03 Sep 2020 17:07:36 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
