Year,Annual
2018 *,116215
2017 *,43850
2016 *,85123
2015 *,99128
2014 *,194970
2013 *,335023
2012 *,197493
2011 *,123553
2010 *,111463
2009 *,30426
2008,52191
2007,73527
2006,208071
2005,244282
2004,258573
2003,464229
2002,766668
2001,555922
2000,427320
1999,359815
1998,167108
1997,323909
1996,309591
1995,280919
1994,175045
1993,132616
1992,79164
1991,103844
1990,62128
1989,152882
1988,239131
1987,267373
1986,268453
1985,318894
1984,216474
1983,172305
1982,188629
1981,217804
1980,140740
1979,201286
1978,139521
1977,162437
1976,180350
1975,177188
1974,217506
1973,244805
1972,138982
1971,221544
1970,219349
1969,309706
1968,194657
1967,170125
1966,184507
1965,177019
1964,284367
1963,285887
1962,234126
1961,231157
1960,437245
1959,454823
1958,263252
1957,114260
1956,157779
1955,382300
1954,479000
1953,585000
1952,349000
Notes:
* Indicates annual escapement and mean are not final; data is Preliminary status.
CDFW GrandTab Adult Escapement
California Central Valley Chinook Population Database Report. CDFW GrandTab Adult Escapement. All; All; Sacramento and San Joaquin River Systems. In-River Fall Chinook.  (January to December). 1 GrandTab Data Note exists for dataset
Generated 03 Sep 2020 17:07:17 PDT. CDFW GrandTab Adult Escapement www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html.

"Citation. Columbia Basin Research, University of Washington. (2020). SacPAS CDFW GrandTab Adult Escapement. Available from http://www.cbr.washington.edu/sacramento/data/query_adult_grandtab.html."
