"","physical_data_id","station_code","date","time","date2","month","day","year","period","wy_type","action_type","region","md","analyte","value"
"1","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"surface_irr",2205
"2","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"depth1irr",1657
"3","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"depth2irr",1104
"4","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"depth3irr",552
"5","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"depth4irr",40
"6","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"water_temp",22.3
"7","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"secchi",1.7
"8","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"ec",104
"9","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"sp_cond",110
"10","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"p_h",7.58
"11","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"do",8.5
"12","1421","SHR",2017-07-18,08:42:00,2017-07-18,7,18,2017,"Before","wet","CA","Middle Sac River",2023-07-18,"turb",7.6
"13","1422","SHR",2017-08-01,08:55:00,2017-08-01,8,1,2017,"Before","wet","CA","Middle Sac River",2023-08-01,"surface_irr",1916.7
"14","1422","SHR",2017-08-01,08:55:00,2017-08-01,8,1,2017,"Before","wet","CA","Middle Sac River",2023-08-01,"depth1irr",1481
"15","1422","SHR",2017-08-01,08:55:00,2017-08-01,8,1,2017,"Before","wet","CA","Middle Sac River",2023-08-01,"depth2irr",963
"16","1422","SHR",2017-08-01,08:55:00,2017-08-01,8,1,2017,"Before","wet","CA","Middle Sac River",2023-08-01,"depth3irr",490
"17","1422","SHR",2017-08-01,08:55:00,2017-08-01,8,1,2017,"Before","wet","CA","Middle Sac River",2023-08-01,"depth4irr",57.9
"18","1422","SHR",2017-08-01,08:55:00,2017-08-01,8,1,2017,"Before","wet","CA","Middle Sac River",2023-08-01,"water_temp",21.8
