Genus,Group,Kingdom,Phylum,Class,Order,Family
Achnanthidium,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthidiaceae
Adlafia,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae
Amphora,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Thalassiophysales,Catenulaceae
Asterionella,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae
Aulacoseira,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Aulacoseirales,Aulacoseiraceae
Bacillaria,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae
Belonastrum,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Bacillariophyta ordo incertae sedis,Bacillariophyta familia incertae sedis
Caloneis,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae
Campylodiscus,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Surirellales,Surirellaceae
Ceratoneis,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae
Cocconeis,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae
Craticula,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Stauroneidaceae
Cyclotella,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Stephanodiscaceae
Cylindrotheca,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae
Cymatopleura,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Surirellales,Surirellaceae
Cymbella,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Cymbellaceae
Diatoma,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae
Diploneis,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Diploneidaceae
Encyonema,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Cymbellales,Cymbellaceae
Entomoneis,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Surirellales,Entomoneidaceae
Eolimna,Diatoms,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae
