Date,LIS_DailyAvgInstFlow,LIS_DailyAvgNetFlow,SR_DailyAvgNetFlow
2013-01-01,NA,NA,NA
2013-01-02,NA,NA,NA
2013-01-03,NA,NA,NA
2013-01-04,NA,NA,NA
2013-01-05,NA,NA,NA
2013-01-06,NA,NA,NA
2013-01-07,NA,NA,NA
2013-01-08,2250,NA,NA
2013-01-09,1890,1900,NA
2013-01-10,1610,1620,NA
2013-01-11,1390,1390,NA
2013-01-12,1170,1170,NA
2013-01-13,940,954,NA
2013-01-14,776,770,NA
2013-01-15,592,605,NA
2013-01-16,490,504,NA
2013-01-17,508,513,NA
2013-01-18,573,564,NA
2013-01-19,594,593,NA
2013-01-20,606,600,NA
2013-01-21,575,577,NA
2013-01-22,562,564,NA
2013-01-23,563,565,NA
2013-01-24,596,608,NA
2013-01-25,709,716,NA
2013-01-26,858,844,NA
2013-01-27,907,899,NA
2013-01-28,893,899,NA
2013-01-29,935,948,NA
2013-01-30,1080,1080,NA
2013-01-31,1200,1170,NA
2013-02-01,1130,1120,NA
2013-02-02,1010,1010,NA
2013-02-03,846,849,NA
2013-02-04,694,738,NA
2013-02-05,845,805,NA
2013-02-06,800,829,NA
2013-02-07,876,851,NA
2013-02-08,818,838,NA
2013-02-09,872,859,NA
2013-02-10,833,836,NA
2013-02-11,793,790,NA
2013-02-12,736,746,NA
2013-02-13,751,744,NA
2013-02-14,736,731,NA
2013-02-15,684,678,NA
2013-02-16,612,620,NA
2013-02-17,596,595,NA
2013-02-18,573,574,NA
2013-02-19,554,555,NA
2013-02-20,542,541,NA
2013-02-21,516,521,NA
2013-02-22,519,517,NA
2013-02-23,504,507,NA
2013-02-24,502,505,NA
2013-02-25,515,507,NA
2013-02-26,478,483,NA
2013-02-27,461,457,NA
2013-02-28,417,417,NA
2013-03-01,383,386,NA
2013-03-02,372,371,NA
2013-03-03,365,370,NA
2013-03-04,408,405,NA
2013-03-05,444,433,NA
2013-03-06,423,430,NA
2013-03-07,430,424,NA
2013-03-08,373,382,NA
2013-03-09,372,376,NA
2013-03-10,400,397,NA
2013-03-11,426,429,NA
2013-03-12,467,462,NA
2013-03-13,468,467,NA
2013-03-14,456,434,NA
2013-03-15,311,325,NA
2013-03-16,229,234,NA
2013-03-17,186,191,NA
2013-03-18,182,187,NA
2013-03-19,212,217,NA
2013-03-20,261,250,NA
2013-03-21,245,251,NA
2013-03-22,261,268,NA
2013-03-23,339,330,NA
2013-03-24,387,385,NA
2013-03-25,419,421,NA
2013-03-26,472,474,NA
2013-03-27,523,514,NA
2013-03-28,493,489,NA
2013-03-29,451,457,NA
2013-03-30,455,463,NA
2013-03-31,504,487,NA
2013-04-01,488,497,NA
2013-04-02,513,508,NA
2013-04-03,482,482,NA
2013-04-04,483,482,NA
2013-04-05,490,490,NA
2013-04-06,469,468,NA
2013-04-07,439,442,NA
2013-04-08,439,439,NA
2013-04-09,433,436,NA
2013-04-10,441,435,NA
2013-04-11,404,409,NA
2013-04-12,401,401,NA
2013-04-13,409,405,NA
2013-04-14,382,385,NA
2013-04-15,372,377,NA
2013-04-16,393,392,NA
2013-04-17,419,418,NA
2013-04-18,435,432,NA
2013-04-19,420,410,NA
2013-04-20,348,357,NA
2013-04-21,323,319,NA
2013-04-22,277,288,NA
2013-04-23,294,289,NA
2013-04-24,297,292,NA
2013-04-25,299,295,NA
2013-04-26,280,283,NA
2013-04-27,266,263,NA
2013-04-28,231,236,NA
2013-04-29,227,239,NA
2013-04-30,285,275,NA
2013-05-01,262,271,NA
2013-05-02,269,244,NA
2013-05-03,122,134,NA
2013-05-04,48.6,48.9,NA
2013-05-05,53.3,49.9,NA
2013-05-06,49.6,51.4,NA
2013-05-07,39.1,33.4,NA
2013-05-08,3.24,10.2,NA
2013-05-09,4.89,8.71,NA
2013-05-10,27,23.5,NA
2013-05-11,24.8,22.8,NA
2013-05-12,6.52,10.3,NA
2013-05-13,15.4,18.6,NA
2013-05-14,22,27.2,NA
2013-05-15,15.8,13.9,NA
2013-05-16,-7.99,-5.26,NA
2013-05-17,-11.8,-14.7,NA
2013-05-18,-11.9,-17.3,NA
2013-05-19,-18.2,-25.5,NA
2013-05-20,-44.3,-47.4,NA
2013-05-21,-73.9,-60.9,NA
2013-05-22,-18.3,-24.9,NA
2013-05-23,-9.09,-12.4,NA
2013-05-24,-27.3,-27.7,NA
2013-05-25,-31,-24,NA
2013-05-26,7.49,6.45,NA
2013-05-27,23.3,24.8,NA
2013-05-28,22.7,27.1,NA
2013-05-29,24.2,28,NA
2013-05-30,26.9,31.6,NA
2013-05-31,53.9,44.5,NA
2013-06-01,41.4,33.6,NA
2013-06-02,11,9.57,NA
2013-06-03,10.6,3.06,NA
2013-06-04,28.2,25.7,NA
2013-06-05,45,43,NA
2013-06-06,30.3,27.8,NA
2013-06-07,-9.8,-1.03,NA
2013-06-08,-23.8,-32.6,NA
2013-06-09,-42.5,-19,NA
2013-06-10,39.7,30.4,NA
2013-06-11,13.2,15.2,NA
2013-06-12,-19.1,-3.91,NA
2013-06-13,3.92,1.65,NA
2013-06-14,-15.3,-10.3,NA
2013-06-15,-21.9,-21.3,NA
2013-06-16,-16,-24.6,NA
2013-06-17,-30,-33.9,NA
2013-06-18,-38.5,-42.1,NA
2013-06-19,-30.1,-37.5,NA
2013-06-20,-35.7,-36,NA
2013-06-21,-20.4,-22.8,NA
2013-06-22,-6.49,-13.9,NA
2013-06-23,-17.9,-5.82,NA
2013-06-24,25.7,26.4,NA
2013-06-25,32.7,39.8,NA
2013-06-26,40.8,47,NA
2013-06-27,47.9,54.6,NA
2013-06-28,52.4,51.5,NA
2013-06-29,29.5,31.1,NA
2013-06-30,44.7,34,NA
2013-07-01,36.2,27.3,NA
2013-07-02,-2.32,-6.96,NA
2013-07-03,-11.5,-25.9,NA
2013-07-04,-45.4,-42.9,NA
2013-07-05,-45,-38.2,NA
2013-07-06,-18.6,-21.8,NA
2013-07-07,-20.9,-15.5,NA
2013-07-08,-0.306,2.56,NA
2013-07-09,5.99,6.91,NA
2013-07-10,-20,-5.68,NA
2013-07-11,-4.67,-1.93,NA
2013-07-12,-2.65,-3.83,NA
2013-07-13,-41.9,-30.7,NA
2013-07-14,-61.6,-59,NA
2013-07-15,-73.1,-74.6,NA
2013-07-16,-61.1,-69.1,NA
2013-07-17,-49.3,-63.2,NA
2013-07-18,-64.6,-78.4,NA
2013-07-19,-90.6,-93.3,NA
2013-07-20,-73.8,-83,NA
2013-07-21,-76.2,-68.9,NA
2013-07-22,-52.6,-46.9,NA
2013-07-23,-48.1,-37.6,NA
2013-07-24,-45.1,-38.2,NA
2013-07-25,-61,-43.8,NA
2013-07-26,-43.1,-39.2,NA
2013-07-27,-51.2,-46.2,NA
2013-07-28,-59.4,-58.2,NA
2013-07-29,-54.8,-59.1,NA
2013-07-30,-33.5,-52.9,NA
2013-07-31,-60.7,-69.6,NA
2013-08-01,-64.7,-68.4,NA
2013-08-02,-48.4,-57.2,NA
2013-08-03,-54.7,-57.2,NA
2013-08-04,-58.6,-53.7,NA
2013-08-05,-45.8,-44.3,NA
2013-08-06,-58.4,-49,NA
2013-08-07,-49.5,-45.5,NA
2013-08-08,-46.5,-44,NA
2013-08-09,-66.1,-57.7,NA
2013-08-10,-69.3,-61.7,NA
