EMPtaxonCode,EMPname,TaxonName,CarbonWeight,,,,,,
AVERNAL,Acanthocyclops vernalis,Acanthocyclops vernalis adult,3.36,,,,,,
AVERNAL,Acanthocyclops vernalis,Acanthocyclops sp. NA,3.36,,,,,,
ACARTIA,Acartia spp.,Acartia sp.,2.984,,,,,,
ACARJUV,Acartia spp. copepodids,Acartia sp. copepodid,1.301,,,,,,
ACARTELA,Acartiella sinensis,Acartiella sinensis NA,2.666,,,,,,
ASINEJUV,Acartiella sinensis copepodid,,1.162,,,,,,
HARPACT,All life stages of harpactacoids,Harpacticoida NA,1,,,,,,
BOSMINA,Bosmina longirostris,Daphnia sp. juvenile,0.6,,,,,,
BOSMINA,Bosmina longirostris,Bosmina longirostris NA,0.6,,,,,,
DAPHNIA,Daphnia spp.,Ceriodaphnia sp. NA,4,,,,,,
DAPHNIA,Daphnia spp.,Daphnia sp. NA,4,,,,,,
DIAPHAN,Diaphanosoma spp.,Diaphanosoma sp. NA,1,,,,,,
DIAPTOM,Diaptomidae,Diaptomus sp. NA,4,,,,,,
DIAPTOM,Diaptomidae,Arctodiaptomus dorsalis NA,4,,,,,,
DIAPTOM,Diaptomidae,Diaptomus dorsalis NA,4,,,,,,
DIAPTOM,Diaptomidae,Diaptomus siciloides NA,4,,,,,,
DIAPTJUV,"Diaptomidae copepodids, several genera",Diaptomus sp. copepodid,2,,,,,,
EURYTEM,Eurytemora affinis,Eurytemora affinis adult,3.068,,,,,,
EURYJUV,Eurytemora affinis copepodids,Eurytemora affinis copepodid,1.443,,,,,,
EURYNAUP,Eurytemora affinis nauplii,,0.1,,,,,,
LIMNOSINE,Limnoithona sinensis,,0.133,,,,,,
LIMNOSPP,Limnoithona spp.,Microcyclops sp. NA,0.133,,,,,,
LIMNOSPP,Limnoithona spp.,Microcyclops rubellus NA,0.133,,,,,,
LIMNOSPP,Limnoithona spp.,Limnothoina sp. NA,0.133,,,,,,
LIMNOJUV,Limnoithona spp. copepodids,Limnothoina sp. copepodid,0.04,,,,,,
LIMNOTET,Limnoithona tetraspina,Limnothoina tetraspina NA,0.133,,,,,,
OITHDAV,Oithona davisae,,0.201,,,,,,
OITHSIM,Oithona similis,,0.5,,,,,,
OITHJUV,Oithona spp. copepodids,,0.065721818,,,,,,
OTHCALAD,Other Calanoid adults,Calanoida adult,3,,,,,,
OTHCALAD,Other Calanoid adults,Copepoda,3,,,,,,
OTHCALAD,Other Calanoid adults,Osphranticum labronectum NA,3,,,,,,
OTHCALJUV,Other calanoid copepodids,Osphranticum sp. copepodid,1.5,,,,,,
OTHCALJUV,Other calanoid copepodids,Calanoida copepodid,1.5,,,,,,
OTHCLADO,Other cladocera genera,Chydorus sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Moina sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Disparalona sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Graptoleberis sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Macrothrix sp. NA,,,,,,,
OTHCLADO,Other cladocera genera,Camptocercus sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Monospilus dispar NA,1,,,,,,
OTHCLADO,Other cladocera genera,Eurycercus sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Alonella sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Pleuroxus sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Pseudochydorus globosus NA,1,,,,,,
OTHCLADO,Other cladocera genera,Pseudochydorus sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Picripleuroxus sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Alona sp. NA,1,,,,,,
OTHCOPNAUP,Other copepod nauplii,Cladocera nauplius,0.1,,,,,,
OTHCOPNAUP,Other copepod nauplii,Copepoda nauplius,0.1,,,,,,
OTHCOPNAUP,Other copepod nauplii,Arthropoda nauplius,0.1,,,,,,
OTHCYCAD,Other Cyclopoid adults,Ectocyclops phaleratus NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Paracyclops sp. NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Paracyclops chiltoni NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Paracyclops fimbriatus NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Paracyclops poppei NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Cyclopoida adult,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Diacyclops thomasi NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Diacyclops sp. NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Cyclopoida NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops elegans NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops pectinifer NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops agilis NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops phaleratus NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Mesocyclops edax NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Macrocyclops sp. NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Macrocyclops albidus NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops sp. NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops prionophorus NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Eucyclops agilis NA,3.36,,,,,,
OTHCYCJUV,Other cyclopoid copepodids,Ectocyclops phaleratus copepodid,1.68,,,,,,
OTHCYCJUV,Other cyclopoid copepodids,Cyclopoida copepodid,1.68,,,,,,
PDIAPFOR,Pseudodiaptomus forbesi,Pseudodiaptomus forbesi adult,2.662,,,,,,
PDIAPMAR,Pseudodiaptomus marinus,,4.9,,,,,,
PDIAPJUV,Pseudodiaptomus spp. copepodids,Pseudodiaptomus forbesi copepodid,1.252,,,,,,
PDIAPNAUP,Pseudodiaptomus spp. nauplii,,0.1,,,,,,Camptocercus sp. NA
SINOCALJUV,Sinocalanus copepodids,Sinocalanus doerrii copepodid,1.811,,,,,,
SINOCAL,Sinocalanus doerrii,Sinocalanus doerrii adult,3.413,,,,,,
SINONAUP,Sinocalanus doerrii nauplii,,0.07,,,,,,
TORTANUS,Tortanus spp.,,15.895,,,,,,
TORTJUV,Tortanus spp. copepodids,,7.948,,,,,,
OTHCLADO,Other cladocera genera,Scapholeberis sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Sida sp. NA,1,,,,,,
OTHCLADO,Other cladocera genera,Simocephalus sp. NA,1,,,,,,
DIAPTOM,Diaptomidae,Skistodiaptomus pallidus adult,4,,,,,,
DIAPTOM,Diaptomidae,Skistodiaptomus sp. NA,4,,,,,,
OTHCYCAD,Other Cyclopoid adults,Tropocyclops prasinus NA,3.36,,,,,,
OTHCYCAD,Other Cyclopoid adults,Tropocyclops sp. NA,3.36,,,,,,
