Station Code,Date,Time,WaterTemperature,SecchiDiskDepth,EC,SpCnd,pH,DO,Turbidity
SHR,8/5/2019,9:14,21.2,1.4,104,112,7.76,8.67,8
DWT,8/6/2019,8:53,23.5,0.13,533,548,7.72,5.73,65.2
I80,8/6/2019,9:26,24.4,0.13,687,695,8.12,6.59,79.6
RMB,8/6/2019,10:14,26.6,0.23,588,571,7.64,4.48,28.4
LIS,8/6/2019,11:28,25.1,0.21,527,526,7.98,5.31,49.9
RCS,8/6/2019,11:57,26.9,0.24,599,578,7.74,4.48,67.3
WWT,8/6/2019,13:11,28,0.28,1077,1018,8.12,8.29,27
RD22,8/6/2019,13:50,25.7,0.21,791,782,8.13,6.18,47.7
RD22,8/6/2019,14:10,25.7,0.21,791,782,8.13,6.18,47.7
RVB,8/7/2019,9:36,22.8,1.2,127,133,7.42,7.69,8.1
RYI,8/7/2019,10:23,22.6,1.4,127,133,7.46,7.79,6.9
LIB,8/7/2019,10:59,22.6,1.23,128,134,7.44,7.81,6.4
LIB,8/7/2019,11:05,22.6,1.23,128,134,7.44,7.81,6.4
BL5,8/7/2019,11:59,23,0.9,144,149,7.84,7.86,7.3
STTD,8/7/2019,12:39,24.1,0.4,191,194,8.62,7.87,21.1
STTD,8/7/2019,12:49,24.1,0.4,191,194,8.62,7.87,21.1
SHR,8/19/2019,10:00,20.6,1,104,114,7.5,8.7,9.3
I80,8/20/2019,9:27,22.9,0.15,603,629,8,5.81,75
I80,8/20/2019,9:40,22.9,0.15,603,629,8,5.81,75
RMB,8/20/2019,10:30,24.2,0.22,529,538,7.71,5.12,34.5
DWT,8/20/2019,10:38,22,0.14,490,520,7.89,6.89,55.4
RCS,8/20/2019,11:14,25,0.28,539,539,7.69,4.88,37.3
LIS,8/20/2019,11:23,24.1,0.25,449,458,8.31,7.86,47.8
WWT,8/20/2019,12:14,25.5,0.31,1045,1034,7.98,8.64,60.8
RD22,8/20/2019,12:50,25.5,0.21,773,765,8.04,6.38,42.2
RVB,8/21/2019,9:30,21.8,1.8,124,132,7.59,8.03,4.9
RYI,8/21/2019,10:20,21.7,1.69,123,131,7.59,8.13,4.9
LIB,8/21/2019,10:55,21.7,1.2,133,142,7.87,8.61,5.7
BL5,8/21/2019,11:35,21.6,1.1,148,158,8.24,8.09,8.5
STTD,8/21/2019,12:20,23.9,0.32,187,192,8.55,8.07,22.3
STTD,8/21/2019,12:35,23.9,0.32,187,192,8.55,8.07,22.3
RMB,9/3/2019,9:24,23.4,0.19,495,511,7.72,5.05,39.4
DWT,9/3/2019,9:29,22.2,0.14,494,423,7.92,6.58,54.6
I80,9/3/2019,9:50,24.1,0.22,521,530,7.84,4.79,42.2
RCS,9/3/2019,10:20,23.6,0.28,494,508,7.63,4.96,31.7
LIS,9/3/2019,11:18,24.4,0.22,533,540,7.86,4.51,39.5
LIS,9/3/2019,11:30,24.4,0.22,533,540,7.86,4.51,39.5
WWT,9/3/2019,11:30,25.5,0.49,1010,1099,7.86,7.31,15.5
RD22,9/3/2019,12:04,23.6,0.28,504,518,7.66,4.19,31.6
RVB,9/4/2019,9:40,22.2,1.3,131,139,7.46,7.81,5.1
RYI,9/4/2019,10:12,22.1,1.5,135,143,7.51,7.79,4.1
RYI,9/4/2019,10:30,22.1,1.5,135,143,7.51,7.79,4.1
LIB,9/4/2019,10:50,22.2,1.55,140,147,7.57,7.85,4.1
BL5,9/4/2019,11:23,22.8,1.4,215,225,8.04,7.55,4.9
STTD,9/4/2019,12:02,24.9,0.26,546,547,7.81,5.73,26.6
STTD,9/4/2019,12:25,24.9,0.26,546,547,7.81,5.73,26.6
SHR,9/5/2019,9:45,19.9,1,110,122,7.41,8.86,10.2
SHR,9/5/2019,10:07,19.9,1,110,122,7.41,8.86,10.2
SHR,9/16/2019,9:40,18.5,1.2,107,122,7.44,9.22,6.3
DWT,9/17/2019,8:46,19,0.16,387,437,7.56,7.24,47.1
I80,9/17/2019,9:13,21.4,0.26,496,533,7.39,5.53,34
RMB,9/17/2019,9:17,21.4,0.29,489,525,7.56,5.3,23.1
LIS,9/17/2019,10:14,21.6,0.28,562,601,7.52,5.24,27.8
RCS,9/17/2019,10:58,21.6,0.31,487,520,7.66,5.37,25.5
RCS,9/17/2019,11:20,21.6,0.31,487,520,7.66,5.37,25.5
WWT,9/17/2019,12:25,23.6,0.51,1097,1127,5.91,8.02,13.5
RD22,9/17/2019,12:59,21.6,0.24,488,522,7.65,5.24,28.2
RVB,9/18/2019,9:01,20.1,1.7,143,158,7.32,8.11,5.9
RYI,9/18/2019,9:42,19.8,1.8,143,159,7.49,8.21,6.2
LIB,9/18/2019,10:12,20,1.4,160,177,7.6,8.15,6.2
BL5,9/18/2019,10:57,20.6,1.1,286,312,8.13,7.81,8.7
BL5,9/18/2019,11:23,20.6,1.1,286,312,8.13,7.81,8.7
STTD,9/18/2019,11:59,21.8,0.3,569,606,7.79,6.03,27.6
STTD,9/18/2019,12:21,21.8,0.3,569,606,7.79,6.03,27.6
SHR,9/30/2019,9:23,16.6,1.8,96,114,7.31,9.23,9.5
DWT,10/1/2019,8:46,16.4,0.14,462,553,7.57,7.75,59.7
RMB,10/1/2019,8:56,19.2,0.28,512,575,7.59,7.07,32.6
I80,10/1/2019,9:14,17.3,0.22,618,725,7.77,7.33,38.3
RMB,10/1/2019,9:19,19.2,0.28,512,575,7.59,7.07,32.6
LIS,10/1/2019,10:30,18.7,0.3,643,732,7.97,7.11,29.7
RCS,10/1/2019,10:32,19.6,0.21,516,575,7.64,7.27,28.3
WWT,10/1/2019,11:53,19.8,0.4,1014,1125,7.48,8.82,13.7
RD22,10/1/2019,12:29,18.9,0.25,553,626,7.59,6.87,24.9
RVB,10/2/2019,9:01,17.8,1.6,120,139,7.24,8.47,8.1
RVB,10/2/2019,9:25,17.8,1.6,120,139,7.24,8.47,8.1
RYI,10/2/2019,9:49,17.5,1.7,123,144,7.57,8.64,7.6
LIB,10/2/2019,10:20,17.5,1.6,133,155,7.65,8.79,7.4
BL5,10/2/2019,10:50,17.5,1.5,154,180,7.76,8.6,8.6
STTD,10/2/2019,11:33,17.8,0.5,292,338,8.46,8.72,16.4
STTD,10/2/2019,11:50,17.8,0.5,292,338,8.46,8.72,16.4
SHR,10/14/2019,9:57,14.6,1.5,85,106,7.54,9.72,5.8
RMB,10/15/2019,9:20,15.6,0.39,455,554,7.51,7.35,17.5
RCS,10/15/2019,10:49,15.8,0.24,493,598,7.58,6.62,23.6
WWT,10/15/2019,12:22,19.3,0.51,966,1084,7.62,7.69,14.4
LIS,10/15/2019,12:47,17.2,0.21,269,316,7.93,7.61,31
RD22,10/15/2019,12:54,17,0.25,715,843,7.66,6.78,45.1
LIS,10/15/2019,13:16,17.2,0.21,269,316,7.93,7.61,31
I80,10/15/2019,14:24,16.9,0.26,606,718,8.37,14.21,31.9
DWT,10/15/2019,15:41,17,0.23,485,572,7.96,11.26,37.3
RVB,10/16/2019,9:08,16.1,2.3,109,131,7.45,8.77,4.7
RYI,10/16/2019,10:03,16,1.9,111,135,7.43,8.92,4.9
LIB,10/16/2019,10:40,16.1,1.5,122,147,7.7,9.2,5.8
BL5,10/16/2019,11:18,16.4,1.7,137,164,8.05,9.31,5.6
STTD,10/16/2019,12:03,16.9,0.5,191,226,8.45,9.04,16.4
STTD,10/16/2019,12:18,16.9,0.5,191,226,8.45,9.04,16.4
SHR,10/28/2019,9:08,13.7,1.75,93,118,7.4,9.8,4.1
STTD,10/29/2019,10:20,12.9,0.34,152,198,7.98,9.29,21.3
LIS,10/29/2019,13:16,14.1,0.25,212,268,7.88,8.75,41.2
