"","Year","ActionPhase","Region","Group","N","BV.um3.per.L","sd","se","ci"
"1",2014,"Before","Upstream","Ciliates",11,0,0,0,0
"2",2014,"Before","Upstream","Cryptophytes",11,0,0,0,0
"3",2014,"Before","Upstream","Cyanobacteria",11,126572846.490909,95470577.8314279,28785462.2895699,64138006.8997764
"4",2014,"Before","Upstream","Diatoms",11,1480688415.24545,3256214297.61782,981785551.108087,2187554530.74268
"5",2014,"Before","Upstream","Dinoflagellates",11,0,0,0,0
"6",2014,"Before","Upstream","Golden Algae",11,0,0,0,0
"7",2014,"Before","Upstream","Green Algae",11,553499583.4,1818580450.14417,548322636.745802,1221738970.35688
"8",2014,"Before","Upstream","Other",11,0,0,0,0
"9",2014,"Before","Downstream","Ciliates",3,0,0,0,0
"10",2014,"Before","Downstream","Cryptophytes",3,0,0,0,0
"11",2014,"Before","Downstream","Cyanobacteria",3,137840356.133333,147653482.196936,85247777.6931865,366791583.396664
"12",2014,"Before","Downstream","Diatoms",3,532962058,500651264.342248,289051142.238123,1243686686.18806
"13",2014,"Before","Downstream","Dinoflagellates",3,0,0,0,0
"14",2014,"Before","Downstream","Golden Algae",3,3068065,5314044.46092381,3068065,13200818.2472988
"15",2014,"Before","Downstream","Green Algae",3,15232040.2,13662818.229829,7888231.78288068,33940322.013508
"16",2014,"Before","Downstream","Other",3,0,0,0,0
"17",2014,"During","Upstream","Ciliates",3,0,0,0,0
"18",2014,"During","Upstream","Cryptophytes",3,0,0,0,0
"19",2014,"During","Upstream","Cyanobacteria",3,50829914.0666667,26914146.3526698,15538889.6417229,66858445.9342347
"20",2014,"During","Upstream","Diatoms",3,558965326.5,481352641.876218,277909077.362372,1195746250.33536
"21",2014,"During","Upstream","Dinoflagellates",3,0,0,0,0
"22",2014,"During","Upstream","Golden Algae",3,0,0,0,0
"23",2014,"During","Upstream","Green Algae",3,7492896.63333333,12303842.5134836,7103626.78722654,30564439.1871817
"24",2014,"During","Upstream","Other",3,0,0,0,0
"25",2014,"During","Downstream","Ciliates",2,0,0,0,0
"26",2014,"During","Downstream","Cryptophytes",2,22560671.4,14046856.3790786,9932627.4,126205997.312539
"27",2014,"During","Downstream","Cyanobacteria",2,383050983.35,271530391.814114,192000981.35,2439603778.57956
"28",2014,"During","Downstream","Diatoms",2,78350238.45,99367719.7269915,70263588.45,892783540.344019
"29",2014,"During","Downstream","Dinoflagellates",2,0,0,0,0
"30",2014,"During","Downstream","Golden Algae",2,0,0,0,0
"31",2014,"During","Downstream","Green Algae",2,0,0,0,0
"32",2014,"During","Downstream","Other",2,0,0,0,0
"33",2014,"After","Upstream","Ciliates",16,0,0,0,0
"34",2014,"After","Upstream","Cryptophytes",16,21586860.4625,63607175.6034255,15901793.9008564,33893871.3835655
"35",2014,"After","Upstream","Cyanobacteria",16,248179717.634375,451185833.721614,112796458.430403,240419960.062235
"36",2014,"After","Upstream","Diatoms",16,1512188262.83125,2103896076.29147,525974019.072867,1121087083.92911
"37",2014,"After","Upstream","Dinoflagellates",16,0,0,0,0
"38",2014,"After","Upstream","Golden Algae",16,16890661.525,36040294.1945079,9010073.54862697,19204517.1706811
"39",2014,"After","Upstream","Green Algae",16,90917122.1875,301209030.490539,75302257.6226349,160502962.78939
"40",2014,"After","Upstream","Other",16,6239842.6,15549202.4318082,3887300.60795206,8285585.11427365
