OrganismCode,CommonName,Native,Phylum,Class,Order,Family,Genus,Species
TFS,Threadfin Shad,I,Chordata,Osteichthyes,Clupeiformes,Clupeidae,Dorosoma,petenense
TP,Tule Perch,N,Chordata,Osteichthyes,Perciformes,Embiotocidae,Hysterocarpus,traski
TSS,Threespine Stickleback,N,Chordata,Osteichthyes,Gasterosteiformes,Gasterosteidae,Gasterosteus,aculeatus
UNID,Unknown,NA,NA,NA,NA,NA,NA,unknown
W,Warmouth,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Lepomis,gulosus
WAG,Wakasagi,I,Chordata,Osteichthyes,Salmoniformes,Osmeridae,Hypomesus,nipponensis
WHC,White Catfish,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ameiurus,catus
WHS,White Crappie,I,Chordata,Osteichthyes,Perciformes,Centrarchidae,Pomoxis,annularis
WST,White Sturgeon,N,Chordata,Osteichthyes,Acipenseriformes,Acipenseridae,Acipenser,transmontanus
YEB,Yellow Bullhead,I,Chordata,Osteichthyes,Siluriformes,Ictaluridae,Ictalurus,natalis
YFG,Yellowfin Goby,I,Chordata,Osteichthyes,Perciformes,Gobiidae,Acanthogobius,flavimanus
